Menu,Section,Anchor Text,URL,Subtext,Icon,Vercel mockup: https://liferay-homepage-header.vercel.app/,,
Solutions,What are you looking to achieve?,Improve SEO & AEO,https://www.liferay.com/capabilities/cms/seo,Manage every layer of SEO in one CMS. (for /capabilities/cms/seo),DESIGN: 4 tiles horizontally across width of drop-down,,,
,,AI Search,https://www.liferay.com/capabilities/cms/seo/ai-search,Get found and cited by AI search engines.,,,,
,,Technical,https://www.liferay.com/capabilities/cms/seo/technical-seo,"Fix technical SEO, no developer needed.",,,,
,,Multilingual,https://www.liferay.com/capabilities/cms/seo/multilingual,Reach global audiences in 50+ languages.,,,,
,,Audit,https://www.liferay.com/capabilities/cms/seo/audit,Catch SEO and accessibility issues early.,,,,
,,Build Portals & Intranets,https://www.liferay.com/enterprise-portals,,,,,
,,Customer Portals,https://www.liferay.com/solutions/customer-portals,Help customers self-serve and succeed.,,,,
,,Partner Portals,https://www.liferay.com/solutions/partner-portals,Simplify how partners work with you.,,,,
,,Supplied Portals,https://www.liferay.com/solutions/supplier-portals,Centralize supplier communication.,,,,
,,Intranets,https://www.liferay.com/solutions/intranets,Give employees a connected digital home.,,,,
,,Build a Modern Digital Experience,https://www.liferay.com/solutions/build-modern-digital-experience,Attract more traffic with a modern site.,,,,
,,Enterprise Websites,https://www.liferay.com/solutions/enterprise-websites,Launch and manage websites at scale.,,,,
,,Integrate siloed enterprise applications,https://www.liferay.com/solutions/integrate-siloed-enterprise-applications,"Unify your CRM, ERP, and legacy systems on one platform",Need buyer specific page,,,
,,Modernize Legacy Infrastructure,https://www.liferay.com/solutions/modernize-legacy-digital-infrastructure-for-growth,Migrate on your terms while keeping the business running.,,,,
,,Personalized experiences at scale,https://www.liferay.com/solutions/deliver-personalized-digital-experiences-at-scale,"Personalize without IT delays, and prove it's working.",,,,
,,Create Customized Experiences,https://www.liferay.com/industries,Tailored solutions for your industry.,,,,
,,Financial Services,https://www.liferay.com/industries/financial-services,Secure and compliant solutions for financial services.,,,,
,,Manufacturing,https://www.liferay.com/industries/manufacturing,Modernize operations and B2B buying./Drive revenue and reduce costs with digitized operations.,,,,
,,Public Sector,https://www.liferay.com/industries/public-sector,Deliver secure digital citizen services.,,,,
,,Energy & Utilities,https://www.liferay.com/industries/energy-and-utilities,Offer intuitive and cost-effective customer experiences.,,,,
,Featured,How to Win in AI Search Results,doesn't exist,,,,,
,,"Skoda Auto's Intranet Serves 40,000 Employees",https://www.liferay.com/web/guest/resources/case-studies/skoda-auto,Inside Škoda personalized employee experience,,,,
,,11 Building Blocks for a High-Performing Supplier Portal,https://www.liferay.com/blog/business-partner-experience/-11-building-blocks-for-a-high-performing-supplier-portal,"Checklist: Automate workflows, boost efficiency.",,,,
AI Agents*,,Writing Assistant,tbd,,,,,
,,Auto Categorization and Tagging,tbd,,,,,
,,Content Translation,tbd,,,,,
,,Generate Image,tbd,,,,,
,,Generate Content,tbd,,,,,
,,Content GAP Analysis,tbd,,,,,
,,Generate Pages,tbd,,,,,
,,Generate Fragments,tbd,,,,,
,,AI Agent Builder,https://www.liferay.com/capabilities/ai-hub,"AI, built fast, deployed faster.",,,,
Resources,Knowledge Center,Resource Hub,https://www.liferay.com/resource-hub,"Explore guides, ebooks, and whitepapers.",,,,
,,Webinars & Events,https://www.liferay.com/events,"Save your seat for our next session, live or in person.",,,,
,,Blog,https://www.liferay.com/blogs,Insights on digital strategy and customer experience.,,,,
,,Documentation,https://learn.liferay.com/documentation,All in one spot: Official guides for Liferay DXP.,,,,
,,Online Courses,https://learn.liferay.com/education/courses,"Master Liferay DXP, self-paced and in-depth.",,,,
,,In-Person Training,https://www.liferay.com/classroom-training,Get hands-on with instructor-led training.,,,,
,AI & Digital Strategy,AI For Your Enterprise Needs,https://www.liferay.com/resources-hub/guide/ai-for-your-entire-organization,"Purpose-built agents, grounded in your data.",,,,
,,Operationalizing an AI Governance Framework,https://www.liferay.com/resource-hub/blogs/ai-governance-framework,AI governance: from strategy to execution.,,,,
,,How the AI Governance Maturity Model Works,https://www.liferay.com/resource-hub/guides/ai-governance-maturity-model,The five levels of AI governance maturity.,,,,
,Technical Insights,Headless CMS vs Traditional CMS,https://www.liferay.com/blog/current-experiences/traditional-vs-headless-choosing-the-right-cms-architecture,Find the right fit for your team.,,,,
,,DXP vs CMS: What's the Difference?,https://www.liferay.com/blog/current-experiences/what-s-the-difference-between-a-cms-portal-and-dxp-,One manages content. The other does a lot more.,,,,
,,Composable Architecture Guide,doesn't exist,,,,,
,Customer Stories,Unilever Achieves 133% Faster Go to Market,https://www.liferay.com/resources/case-studies/unilever,How a platform overhaul sped up new product rollouts.,highlight/promote top customer stories from top logos,,,
,,Petrobras creates better experiences for employees and customers,https://www.liferay.com/resources/case-studies/petrobras,See how Petrobras unified sites for 4M+ users.,highlight/promote top customer stories from top logos,,,
,,Lenovo increases partner satisfaction and sales,https://www.liferay.com/resources/case-studies/lenovo,How one unified hub set partners up for success.,highlight/promote top customer stories from top logos,,,
,,All Customer Stories --> ,https://www.liferay.com/resources-hub/customer-stories,Real results from Liferay customers.,,,,
Partners,Find a Partner,Partner Directory,https://www.liferay.com/partners/directory,Find a certified Liferay partner.,,,,
,Partner Portal,Partner Portal (Login),https://partner.liferay.com/,Partner resources and support in one place.,,,,
,Become a Partner,Solution Partner,https://www.liferay.com/partners/solution-partner,Become a certified Solution Partner.,,,,
,,OEM Partner,https://www.liferay.com/partners/oem-partner,License Liferay and make it part of your product.,,,,
,,Technology Partner,https://www.liferay.com/partners/technology-partner,Join our growing ecosystem.,,,,
,Liferay Services,Global Services,https://www.liferay.com/consulting,Expert consulting for your DXP project.,,,,
,,Technical Account Management,https://www.liferay.com/subscriptions/technical-account-management,Get hands-on guidance from launch onward.,,,,
,,Managed Services,https://www.liferay.com/consulting,Let Liferay manage your DXP for you.,,,,
,,Customer Support Portal,https://support.liferay.com/,Get help and manage support tickets.,,,,
,Featured,Techem's Customer Portal Goes Live in 18 Countries,https://www.liferay.com/resources/case-studies/techem,tech,,,,
,,Maschio Gaspardo Builds a Single Source of Truth for Product Data,https://www.liferay.com/resources/case-studies/maschio-gaspardo,"From 6,000 printed catalogs a year to just 100.",,,,
,,,,,,,,
Right-aligned (use slightly smaller font),,,,,,,,
Language Selector,,,,,,,,
Login,,,,,,,,
Contact Sales CTA Button,,,https://www.liferay.com/contact-sales,,,,,
